Drain TotalCurrent(IdVg_n1_des) X,Drain TotalCurrent(IdVg_n1_des) Y
0,1.4316543e-12
0.002,1.5263749e-12
0.0046253333,1.6594029e-12
0.0081205271,1.8550943e-12
0.012773795,2.1519758e-12
0.018968846,2.6232769e-12
0.027216523,3.4153226e-12
0.038196932,4.8559042e-12
0.052815515,7.7655094e-12
0.072277722,1.4532234e-11
0.097825113,3.3171078e-11
0.13136032,9.8419189e-11
0.17538087,4.128883e-10
0.23316518,2.7291586e-09
0.30793808,3.022805e-08
0.40329844,3.661106e-07
0.50329844,1.405586e-06
0.60329844,2.7414697e-06
0.70329844,4.131738e-06
0.80329844,5.5110575e-06
0.90329844,6.8583796e-06
1.0032984,8.1660509e-06
1.1032984,9.4315708e-06
1.2032984,1.0654773e-05
1.3032984,1.1836655e-05
1.4032984,1.2978819e-05
1.5032984,1.4083165e-05
1.6032984,1.5151722e-05
1.7032984,1.6186543e-05
1.8032984,1.7189639e-05
1.9032984,1.8162944e-05
2,1.9077541e-05

